1,Anti-Histone H3 antibody - Nuclear Marker and ChIP Grade,ab1791,https://www.abcam.com/ps/products/1/ab1791/Images/ab1791-243022-anti-histone-h3-antibody-nuclear-loading-control-and-chip-grade-western-blot.jpg?impolicy=product-thumbnail,Rabbit polyclonal to Histone H3 - Nuclear Marker and ChIP Grade,https://www.abcam.com/products/ab1791
2,Anti-Ki67 antibody,ab15580,https://www.abcam.com/ps/products/15/ab15580/Images/ab15580-244-anti-ki67-immunocytochemistry-antibody-mef1-mouse.jpg?impolicy=product-thumbnail,Rabbit polyclonal to Ki67,https://www.abcam.com/products/ab15580
3,Anti-Ki67 antibody [SP6],ab16667,https://www.abcam.com/ps/products/16/ab16667/Images/ab16667-515531-anti-ki67-antibody-sp6-immunohistochemistry-formalin-pfa-fixed-paraffin-embedded-sections-mouse-rat.jpg?impolicy=product-thumbnail,Rabbit monoclonal [SP6] to Ki67,https://www.abcam.com/products/ab16667
4,Anti-GFP antibody,ab290,https://www.abcam.com/ps/products/0/ab290/Images/ab290-316648-anti-gfp-antibody-chip-grade-immunohistochemistry.jpg?impolicy=product-thumbnail,Rabbit polyclonal to GFP,https://www.abcam.com/products/ab290
5,Anti-Vimentin antibody [EPR3776] - Cytoskeleton Marker,ab92547,https://www.abcam.com/ps/products/92/ab92547/Images/ab92547-512543-anti-vimentin-antibody-epr3776-cytoskeleton-marker-immunohistochemistry-tma-map-human.jpg?impolicy=product-thumbnail,Rabbit monoclonal [EPR3776] to Vimentin - Cytoskeleton Marker,https://www.abcam.com/products/ab92547
6,Anti-beta Actin antibody [mAbcam 8226] - Loading Control,ab8226,https://www.abcam.com/ps/products/8/ab8226/Images/ab8226-42-anti-beta-actin-mabcam-8226-antibody-loading-control-immunocytochemistry-hela-human-ab8226.jpg?impolicy=product-thumbnail,Mouse monoclonal [mAbcam 8226] to beta Actin - Loading Control,https://www.abcam.com/products/ab8226
7,Anti-beta Catenin antibody [E247] - ChIP Grade,ab32572,https://www.abcam.com/ps/products/32/ab32572/Images/ab32572-512753-anti-beta-catenin-antibody-e247-chip-grade-western-blot-wildtype-mcf7-ctnnb1-knockout-mcf7-hela.jpg?impolicy=product-thumbnail,Rabbit monoclonal [E247] to beta Catenin - ChIP Grade,https://www.abcam.com/products/ab32572
8,Anti-alpha smooth muscle Actin antibody [1A4],ab7817,https://www.abcam.com/ps/products/7/ab7817/Images/ab7817-24-anti-alpha-smooth-muscle-Actin-antibody-1A4-immunocytochemistry-immunofluorescence-SV40LTSMC-A431-rat-human.jpg?impolicy=product-thumbnail,Mouse monoclonal [1A4] to alpha smooth muscle Actin,https://www.abcam.com/products/ab7817
9,Anti-Lamin B1 antibody - Nuclear Envelope Marker,ab16048,https://www.abcam.com/ps/products/16/ab16048/Images/ab16048-458692-AntiLamin-B1-antibody--Nuclear-Envelope-Marker-western-blot.jpg?impolicy=product-thumbnail,Rabbit polyclonal to Lamin B1 - Nuclear Envelope Marker,https://www.abcam.com/products/ab16048
10,Anti-alpha smooth muscle Actin antibody,ab5694,https://www.abcam.com/ps/products/5/ab5694/Images/ab5694-252931-anti-alpha-smooth-muscle-actin-antibody-western-blot.jpg?impolicy=product-thumbnail,Rabbit polyclonal to alpha smooth muscle Actin,https://www.abcam.com/products/ab5694
